seller_,seller,make_,make,no
179337,5492,Acura,20001,1
179387,5497,Acura,20001,1
179416,5502,Acura,20001,1
179560,5513,Acura,20001,2
179575,5516,Acura,20001,1
179873,5540,Acura,20001,1
182345,5729,Acura,20001,1
182440,5733,Acura,20001,2
182716,5747,Acura,20001,1
182788,5764,Acura,20001,1
182804,5766,Acura,20001,1
182915,5776,Acura,20001,2
182941,5778,Acura,20001,1
182958,5781,Acura,20001,1
183199,5798,Acura,20001,1
183362,5814,Acura,20001,1
183503,5826,Acura,20001,1
183692,5833,Acura,20001,1
183700,5834,Acura,20001,1
184059,5858,Acura,20001,1
184114,5861,Acura,20001,1
184142,5864,Acura,20001,1
184443,5887,Acura,20001,1
185337,5953,Acura,20001,1
185671,5977,Acura,20001,1
185955,6001,Acura,20001,2
186032,6010,Acura,20001,1
186092,6017,Acura,20001,1
186144,6019,Acura,20001,1
186214,6022,Acura,20001,2
186332,6028,Acura,20001,1
186632,6047,Acura,20001,1
186737,6057,Acura,20001,2
186852,6067,Acura,20001,1
186859,6071,Acura,20001,3
187004,6080,Acura,20001,1
187083,6086,Acura,20001,1
187197,6101,Acura,20001,1
187477,6114,Acura,20001,1
187514,6117,Acura,20001,1
187997,6154,Acura,20001,1
188004,6155,Acura,20001,1
188137,6163,Acura,20001,1
188139,6164,Acura,20001,1
188207,6168,Acura,20001,1
188218,6171,Acura,20001,1
188352,6179,Acura,20001,1
188450,6184,Acura,20001,2
188612,6191,Acura,20001,2
188670,6192,Acura,20001,1
188802,6197,Acura,20001,1
188918,6210,Acura,20001,1
189023,6224,Acura,20001,1
189071,6228,Acura,20001,4
189311,6238,Acura,20001,1
189378,6245,Acura,20001,1
189475,6250,Acura,20001,1
189515,6252,Acura,20001,1
189634,6267,Acura,20001,1
189918,6294,Acura,20001,1
190043,6305,Acura,20001,1
190224,6316,Acura,20001,1
190264,6318,Acura,20001,1
190401,6327,Acura,20001,6
190565,6340,Acura,20001,3
190825,6357,Acura,20001,3
191051,6373,Acura,20001,1
191185,6383,Acura,20001,1
191188,6384,Acura,20001,4
191213,6386,Acura,20001,1
191235,6389,Acura,20001,1
191509,6406,Acura,20001,1
191517,6408,Acura,20001,1
191863,6435,Acura,20001,1
192149,6449,Acura,20001,1
192331,6460,Acura,20001,1
192463,6467,Acura,20001,1
192681,6482,Acura,20001,1
192816,6491,Acura,20001,1
192873,6493,Acura,20001,1
192996,6500,Acura,20001,1
193058,6510,Acura,20001,1
193168,6519,Acura,20001,1
193364,6532,Acura,20001,1
193480,6538,Acura,20001,1
193482,6539,Acura,20001,2
193652,6548,Acura,20001,1
193813,6562,Acura,20001,1
193983,6578,Acura,20001,1
194110,6584,Acura,20001,1
194703,6627,Acura,20001,3
194855,6631,Acura,20001,1
194867,6633,Acura,20001,1
194874,6634,Acura,20001,1
195164,6660,Acura,20001,1
195323,6672,Acura,20001,1
195471,6686,Acura,20001,1
195587,6699,Acura,20001,4
195639,6702,Acura,20001,1
195773,6710,Acura,20001,3
195832,6714,Acura,20001,1
195869,6716,Acura,20001,3
195882,6718,Acura,20001,3
196009,6734,Acura,20001,1
196130,6746,Acura,20001,3
196176,6753,Acura,20001,1
196360,6771,Acura,20001,1
196537,6783,Acura,20001,1
196744,6801,Acura,20001,2
196931,6816,Acura,20001,2
197085,6834,Acura,20001,2
197189,6844,Acura,20001,1
197427,6860,Acura,20001,2
197466,6864,Acura,20001,1
197691,6883,Acura,20001,2
197844,6887,Acura,20001,2
198088,6910,Acura,20001,1
198123,6914,Acura,20001,2
198327,6932,Acura,20001,1
198390,6942,Acura,20001,1
198559,6956,Acura,20001,1
198636,6962,Acura,20001,1
198956,6995,Acura,20001,2
199078,7005,Acura,20001,1
199202,7015,Acura,20001,1
199310,7024,Acura,20001,1
199348,7033,Acura,20001,1
199392,7037,Acura,20001,1
199729,7062,Acura,20001,3
199951,7072,Acura,20001,1
200028,7073,Acura,20001,1
200042,7076,Acura,20001,1
200333,7097,Acura,20001,1
200463,7111,Acura,20001,1
200728,7127,Acura,20001,1
200760,7132,Acura,20001,1
200926,7140,Acura,20001,1
201095,7155,Acura,20001,1
201100,7157,Acura,20001,1
201350,7172,Acura,20001,1
201427,7186,Acura,20001,1
201579,7201,Acura,20001,1
201638,7211,Acura,20001,2
201687,7213,Acura,20001,1
201799,7221,Acura,20001,1
201924,7225,Acura,20001,1
201945,7226,Acura,20001,1
202049,7235,Acura,20001,1
202298,7258,Acura,20001,1
